spread_id,spread_name,normalized_name,card_count,keywords,description,positions
1,THE THREE CARD SPREAD,three card,3,"higher self, situation problem advice, essential guidance, fortune telling, past present future, yesterday today tomorrow, basic insight, divination, simple spread, prediction, morning afternoon evening, beginning middle end, cause situation outcome, soul, spirituality","The Three Card Spread is one of the most popular tarot spreads in use today. Its beauty lies within its simplicity. It is incredibly effective at highlighting the energy of one's past, present and future. This is one of the most dynamic tarot spreads that can be used in a tarot reading to evaluate any number of questions.","[{'position_num': 1, 'position_name': 'Mind / Past / Background', 'position_meaning': 'This card reflects your mental state, past experiences, and underlying background factors that have led to the current situation.'}, {'position_num': 2, 'position_name': 'Body / Present / Problem', 'position_meaning': 'This card shows your physical state, present situation, or the main issue you are facing right now.'}, {'position_num': 3, 'position_name': 'Spirit / Future / Advice', 'position_meaning': 'This card reveals spiritual guidance, upcoming influences, and advice for navigating the situation.'}]"
2,THE ONE CARD SPREAD,one card,1,"single card, fortune telling, divination, quick answer, simple guidance, focused question, prediction, guidance, insight, clarity",,"[{'position_num': 1, 'position_name': ""card's meaning"", 'position_meaning': ""card's meaning""}]"
3,THE HOW TO FIND LOVE TAROT CARD SPREAD,how to find love tarot card,5,"specific guidance, romance, fortune telling, emotional connection, divination, focused reading, relationship, moderate spread, passion, attraction, detailed insight, prediction","One of the most standard inquiries made during a Tarot reading concerns matters of love. One general belief is that true love is something that is outside of one's self, that it is predestined or an act of fate. In truth, we play a significant role in our own love lives. Finding true love begins within our own selves. The first step towards finding a fulfilling relationship begins with finding love within our own inner beings.","[{'position_num': 1, 'position_name': 'You & Present Issue', 'position_meaning': 'This card represents you and the core issues or themes currently surrounding your love life.'}, {'position_num': 2, 'position_name': 'Behavioral Patterns', 'position_meaning': 'This card shows your habits, attitudes, or behaviors that are influencing your love life right now.'}, {'position_num': 3, 'position_name': 'Growth Needed', 'position_meaning': 'This card identifies areas where personal growth is necessary to open yourself to love.'}, {'position_num': 4, 'position_name': 'Necessary Changes', 'position_meaning': 'This card highlights changes, healing, or processes you need to undergo to allow love to enter.'}, {'position_num': 5, 'position_name': 'Inner Liberation', 'position_meaning': 'This card reveals internal blocks or parts of yourself that need to be freed in order to fully welcome love into your life.'}]"
4,THE SUCCESS TAROT CARD SPREAD,success tarot card,5,"specific guidance, fortune telling, divination, triumph, achievement, focused reading, attainment, moderate spread, accomplishment, victory, detailed insight, prediction",The Success Tarot Card Spread is a great tool to help you better understand the obstacles and challenges that are confronting you in you endeavors. It then goes on to identify the strengths and resources that you have at your disposal to overcome whatever issues are obstructing your path to success. It also can suggest new solutions that you may not have been aware of.,"[{'position_num': 1, 'position_name': 'Central Issue', 'position_meaning': 'This card represents your main question or concern. It highlights key aspects you should be aware of in your current efforts.'}, {'position_num': 2, 'position_name': 'Current Challenges', 'position_meaning': 'This card shows obstacles or problems that may be blocking your progress.'}, {'position_num': 3, 'position_name': 'Hidden Factors', 'position_meaning': 'This card reveals hidden or unconscious influences affecting your situation.'}, {'position_num': 4, 'position_name': 'Helpful Influences', 'position_meaning': 'This card indicates helpful people, ideas, or shifts in perspective that can support you.'}, {'position_num': 5, 'position_name': 'Action for Success', 'position_meaning': 'This card suggests actions or steps you should take to improve your chances of success.'}]"
5,THE MONEY TAROT CARD SPREAD,money tarot card,5,"specific guidance, prosperity, spirituality, soul, employment, abundance, focused reading, job, financial security, finances, higher self, fortune telling, wealth, vocation, work","These have been difficult financial times. One of the most common inquiries I am now receiving as a Tarot reader concerns matters of work, career and finances. Although the Tarot is a great tool for brainstorming, creativity and meditation, it is also a great resource for gaining valuable information about one's financial status and concerns.","[{'position_num': 1, 'position_name': 'Current Financial Situation', 'position_meaning': 'Represents your present financial condition and your current relationship with money.'}, {'position_num': 2, 'position_name': 'Core Beliefs About Money', 'position_meaning': 'Reveals your beliefs, ideas, and feelings about money.'}, {'position_num': 3, 'position_name': 'Past Influences', 'position_meaning': 'Shows how your past has shaped your financial attitudes and behaviors.'}, {'position_num': 4, 'position_name': 'Spiritual Relationship to Money', 'position_meaning': 'Reflects spiritual lessons and deeper personal insights about your financial life.'}, {'position_num': 5, 'position_name': 'Action Required', 'position_meaning': 'Indicates the steps—both emotional and spiritual—you need to take to improve your financial situation.'}]"
6,THE DECISION MAKING SPREAD,decision making,4,"decision making, judgment, specific guidance, fortune telling, consequences, options, divination, detailed insight, choices options, crossroads, focused reading, moderate spread, alternatives, choice, pros cons","The Decision Making Spread helps you to explore the consequences of important decisions. Although the layout is rather simple, it is straight to the point and can offer valuable insights of the decision making process.","[{'position_num': 1, 'position_name': 'Current Status', 'position_meaning': 'Represents the present situation or decision and reflects the overall energy of the issue.'}, {'position_num': 2, 'position_name': 'Pros of the Situation', 'position_meaning': 'Shows the positive aspects or advantages involved.'}, {'position_num': 3, 'position_name': 'Other Considerations', 'position_meaning': 'Highlights additional factors or aspects that need attention.'}, {'position_num': 4, 'position_name': 'Cons of the Situation', 'position_meaning': 'Reveals the negative aspects or drawbacks of the situation.'}]"
7,THE WISH TAROT CARD SPREAD,wish tarot card,9,"detailed analysis, aspirations, conclusion, wish fulfillment, intention setting, complex spread, hope, ending, result, fortune telling, in-depth guidance, desires, dreams, manifestation, attraction","If you're a fan of the law of attraction, then you will love the Wish Spread. This tarot spread is all about your intentions and emphasizes the best approach to obtaining your goals. This spread is particularly useful in determining the influences that are affecting your aspirations.","[{'position_num': 1, 'position_name': 'Wish / Desired Outcome', 'position_meaning': 'Represents your wish or desired outcome.'}, {'position_num': 2, 'position_name': 'Past Influence', 'position_meaning': 'Shows how the past is influencing your desired outcome.'}, {'position_num': 3, 'position_name': 'Immediate Future', 'position_meaning': 'What you can expect in the near future.'}, {'position_num': 4, 'position_name': 'Future Influences', 'position_meaning': 'What influences will arise shortly and how they may affect the outcome.'}, {'position_num': 5, 'position_name': 'Help from Others', 'position_meaning': 'The help or support you may receive from others.'}, {'position_num': 6, 'position_name': 'Opposition / Obstacles', 'position_meaning': 'Possible opposing forces or challenges to be aware of.'}, {'position_num': 7, 'position_name': 'Best Course of Action', 'position_meaning': 'Recommended action you should take to achieve your wish.'}, {'position_num': 8, 'position_name': 'Guidance', 'position_meaning': 'Advice or insight on how you might achieve your desired outcome.'}, {'position_num': 9, 'position_name': 'Expected Results', 'position_meaning': 'The likely outcome if you follow the guidance received.'}]"
8,THE TRUE LOVE SPREAD,true love,6,"specific guidance, romance, ending, result, fortune telling, emotional connection, divination, focused reading, relationship, moderate spread, passion, attraction, detailed insight, prediction, conclusion","The True Love Spread is one of the better tarot spreads for evaluating the strengths and weaknesses of an existing romantic relationship. The True Love Spread is simple, yet still can provide great insight in a relationship as well as give recommendations in areas that could use improvement.","[{'position_num': 1, 'position_name': 'You (Querent)', 'position_meaning': 'Your current feelings, attitudes, and expectations.'}, {'position_num': 2, 'position_name': 'Your Partner', 'position_meaning': 'Your partner’s current feelings, attitudes, and expectations.'}, {'position_num': 3, 'position_name': 'Connection', 'position_meaning': 'The qualities and characteristics that bring you together.'}, {'position_num': 4, 'position_name': 'Strengths', 'position_meaning': 'The strengths of the relationship that help maintain it.'}, {'position_num': 5, 'position_name': 'Weaknesses', 'position_meaning': 'The weaknesses or challenges that need to be addressed.'}, {'position_num': 6, 'position_name': 'True Love Outcome', 'position_meaning': 'Whether the relationship can be successful and fulfilling; what needs attention for it to flourish.'}]"
9,THE QUICK LOVE TAROT CARD SPREAD,quick love tarot card,4,"specific guidance, romance, ending, result, fortune telling, emotional connection, divination, focused reading, relationship, moderate spread, passion, attraction, detailed insight, prediction, conclusion","The Quick Love Tarot Card Spread is a great spread to discover the key issues or challenges that you may be facing in your love life. The Quick Love Spread gets right to the heart of your love matters. It's particularly effective at disclosing the influences of one's past and how this might be affecting one's current love life. More importantly, it can disclose the areas where you may be blocked within yourself or where you current relationship has come to a standstill.","[{'position_num': 1, 'position_name': 'You / Covered Card', 'position_meaning': 'Represents you and the overall mood of the issue or question at the time of reading.'}, {'position_num': 2, 'position_name': 'Blockages', 'position_meaning': 'Key challenges or blocks preventing progress in love or relationships (psychological, emotional, or situational).'}, {'position_num': 3, 'position_name': 'Past Influence', 'position_meaning': 'Recent past events or issues affecting your current relationship situation.'}, {'position_num': 4, 'position_name': 'Future Outcome', 'position_meaning': 'Potential future outcome or influences that may affect your love life.'}]"
10,THE SPIRITUAL GUIDANCE SPREAD,spiritual guidance,8,"higher purpose, detailed analysis, meditation, soul searching, soul, conclusion, spiritual growth, complex spread, higher self, ending, result, fortune telling, in-depth guidance, spiritual path, comprehensive reading",The Spiritual Guidance Spread is a great tool for finding direction in spiritual matters.,"[{'position_num': 1, 'position_name': 'Central Issue (Present Focus)', 'position_meaning': 'Represents the central issues surrounding you and your primary spiritual questions or concerns. What you need to be aware of in the present.'}, {'position_num': 2, 'position_name': 'Motivating Forces', 'position_meaning': 'Motivating forces leading you to seek spiritual guidance.'}, {'position_num': 3, 'position_name': 'Present Concerns', 'position_meaning': 'Present areas of concern or anxiety related to your spiritual journey.'}, {'position_num': 4, 'position_name': 'Unconscious Influences', 'position_meaning': 'Things you may not be spiritually aware of in the present.'}, {'position_num': 5, 'position_name': 'Direct Spiritual Guidance', 'position_meaning': 'The main guidance card: advice or actions needed for spiritual growth and success.'}, {'position_num': 6, 'position_name': 'How to Proceed Now', 'position_meaning': 'How to best proceed and/or apply guidance in the present.'}, {'position_num': 7, 'position_name': 'How to Proceed Later', 'position_meaning': 'How to proceed and/or apply guidance in the future.'}, {'position_num': 8, 'position_name': 'Outcome', 'position_meaning': 'Expected results if the guidance is followed.'}]"
