id,source,chapter,content,reversed,card_name,card_type,orientation,content_type,word_count,char_count
seventy_eight_degree_of_wisdom_tarot_chapter_10_king_of_pentacles,seventy_eight_degree_of_wisdom_tarot,chapter_10,"## KING OF PENTACLES
The mundaneness of Pentacles goes very well with the social responsibility of the King, who presents to us the very image of the successful business or professional man. The casual way he sits on his throne, the fond way he looks at his pentacle - here the symbol of his capabilities and his achievements - show him satisfied with life. He is generous, even courageous, though not especially given to adventure. The role of King does not frustrate him as it does the Kings of Wands and Cups. Perhaps at an earlier stage of his life and career he might have suffered from impatience or doubt. Now his success has justified his life, allowing him to relax and enjoy it.
Enjoying life means a closeness to nature as well. Though his castle - symbol of his dominant place in society - rises in the background, he sits in his garden, with flowers on his crown, and with grapes - symbol of lifes sweetness - decorating his robe. The very leaves and flowers seem to merge with his robe, just as the water flowed into the Queen of Cups dress. Life is good to him and he means to enjoy it.
A Tarot reading once produced the Fool crossed by the King of Pentacles (the two cards greatly resemble each other in their colour schemes). The conjunction forms a fine example of what I call vertical and horizontal time, that is, the inner and outer worlds. The King symbolizes ordinary activity, accomplishments, social position, success, while the Fool stands for the inner spiritual freedom that allows a person to enjoy these things and build upon them without getting trapped in a narrow materialist view. Consider two people with the same outer worlds - both successful, respected, wealthy; yet inwardly one may be tense, or frustrated, or afraid, while the other remains joyful and at peace.
If we see the Fool as the beginning of the Major Arcana, the King of Pentacles as the final card of the Minor, then the two stand at opposite ends of the Tarot. But this polarity holds true only if we see the cards in a line. If we envision them in a circle, then the Fool and the King of Pentacles become joined together.","### Reversed

The King is meant for success. Reversing him suggests failure or simply mediocrity. The lack of fulfilment brings dissatisfaction, feelings of weakness, and doubt. Taken another way we can see the upside down King as symbolizing the idea of success corrupted, the image of a man or a woman who will use any means to achieve his or her goals.

If we describe the King of Pentacles as someone who needs a vital connection with nature (and not everyone does, despite contemporary assumptions), the King reversed stands for the state of being cut off from that rejuvenating flow. Here too the break results in dissatisfaction, weakness, even psychic danger.",King of Pentacles,minor_arcana,both,card_meaning,383,2125
seventy_eight_degree_of_wisdom_tarot_chapter_10_queen_of_pentacles,seventy_eight_degree_of_wisdom_tarot,chapter_10,"## QUEEN OF PENTACLES
Where the King sits before a castle, the Queens throne stands entirely in a field, framed by roses. Where the King simply glances at his Pentacle, the Queen holds hers in both hands, intensely aware of the magic in nature and the strength she derives from it. More than any other Minor card she represents a love for and unity with the world. The rabbit in the lower right-hand corner stands not only for sexual fertility, but also for the spiritual fruitfulness of a life that has found its own rhythm in the world around it.
Her qualities, as well as the sexual symbolism, relate her to the patron of Pentacles, the Empress. At the same time, as a Minor figure she carries a quality lacking in the archetypal trump of passion: self-awareness. She knows and believes in herself, and in the magic of her life. In readings, this quality of self-trust will often prove the most important.
If the King stands beside the Fool then the Queen belongs with the Magician. Like him she wears a red robe over a white shirt; leaves and flowers frame both of them; a yellow sky shines behind each. Where the Magician manipulates the forces hidden in the world, the Queen of Pentacles joins herself to those forces, allowing them to flow through her into her daily life.","### REVERSED

In readings, the Queen reversed can mean not trusting oneself in some specific situation. More generally it refers to psychic weakness. For cutting off the Queen from her vital connection to the earth results, even more so than with the King, in nervousness and confusion. She becomes afraid, even phobic, mistrustful of others and especially of herself, doubting her abilities and her value as a person. This separation means more than being isolated from plants and animals. Rather it means a loss of daily rhythm in life, a dissatisfaction with the whole environment, and an inability to appreciate what the environment has to offer.

In a reading the Queen reversed not only points out these qualities in the subject, but suggests a dual remedy. First, a build up in confidence; besides emphasizing his or her accomplishments and good qualities a person can do this through meditation with the Queen right side up. Second, a grounding of the emotions in natural things, ordinary pleasures, satisfying work.",Queen of Pentacles,minor_arcana,both,card_meaning,229,1279
seventy_eight_degree_of_wisdom_tarot_chapter_10_knight_of_pentacles,seventy_eight_degree_of_wisdom_tarot,chapter_10,"## Knight OF PENTACLES
The Knights responsibility for action brings out the suits practical qualities. At the same time, denying the Knights natural penchant for adventure tends to distort and narrow his attitude to life. He is responsible, hardworking, uncomplaining. In his best sense he is deeply rooted to the outer world and to simplicity, a quality suggested by the way his horse stands firmly on the ground, with its rider sitting upright.
Though he also holds a pentacle he does not look at it, but instead stares over it. The symbolism suggests that he has lost sight of the source and meaning of his strength in life. In dedicating himself to purely practical matters, he has cut himself off from the deeper things in Earth.","### Reversed

Sometimes the Knight reversed can mean an awakening of those other awarenesses. More often it shows a failure — or exaggeration — of the Knight’s more obvious virtues. His steadiness slows down to the point of inertia, his plodding responsibility gives way to idleness. A mild personality, taken just a little too far, becomes weak and depressed, especially if his placidity has covered a repressed desire for either adventure or greater advancement.

The Knight of Pentacles reversed can sometimes indicate a crisis. If a person has dedicated her or his life to a job or some similar outer responsibility, and that meaning is taken away — say through dismissal or retirement — then discouragement and depression can overcome him or her. Another example would be a woman who has dedicated her life to her children and now finds that they have grown up and away from her.

Though such extreme meanings of course occur rarely in actual readings, they remain implied in the Knight’s basic paradox: deeply grounded in, yet unaware of, the magic beneath him, he identifies himself with his functions. He needs to discover the real source of his strength, within himself and in life.",Knight of Pentacles,minor_arcana,both,card_meaning,126,734
seventy_eight_degree_of_wisdom_tarot_chapter_10_page_of_pentacles,seventy_eight_degree_of_wisdom_tarot,chapter_10,"## Page OF PENTACLES
In direct contrast to the Knight, the Page looks at nothing but his pentacle, holding it lightly in the air. Where the Knight is the prototypical worker, the Page represents the student, lost in his studies, fascinated, feeling little concern for anything outside them. Nevertheless, he partakes of the suits practical nature by symbolizing the actual work of the student, the study and scholarship, as compared to the inspiration symbolized by the Page of Cups.
The student here acts as a symbol; the Page need not refer to someone actually in school, but simply anyone approaching any activity with those qualities of fascination, of involvement, of caring less for rewards or social position than for the work itself.","### Reversed

Again, the Page appears as the converse of the Knight. In reality, the two of them split the Pentacles' double qualities—practicality and magic. Where the Knight, without his job, becomes discouraged and inert, the Page, without his sense of hard work, gives way to wildness and dissipation, what Waite calls 'prodigality'. Sometimes,",Page of Pentacles,minor_arcana,both,card_meaning,122,741
seventy_eight_degree_of_wisdom_tarot_chapter_10_ten_of_pentacles,seventy_eight_degree_of_wisdom_tarot,chapter_10,"## TEN OF PENTACLES
One of the most symbolic and deeply-layered Minor cards, the Ten shows us the very image of the Gate opening to hidden experience in ordinary things. Like the Ten of Cups it deals with domestic life, but where the men and women in Cups celebrate the gift, the family here does not notice the magic all around them. On the surface the card represents the established home, the good life, a secure and comfortable position in the world. The people concerned, however, appear to take the comfort for granted; they find the security boring or stifling. In contrast to the Ten of Cups (the two cards will often appear together in readings) the family here does not seem to communicate with each other. The man and woman face opposite ways, though the woman glances anxiously over her shoulder at the man. The child hangs on nervously to its mother, but looks away. And none of them notices the old man outside the arch.
Though the card expresses mundaneness, magic signs cover it. The ten pentacles form the Kabbalistic Tree of Life, something which appears nowhere else in the deck. Notice also the magic wand resting against the arch; no other Minor card contains one. The arch itself bears a relief of balanced scales (just above the old man's head). Now, scales stand for Justice, and further, for subtle forces which keep the everyday world from breaking into chaos. By 'subtle forces' I do not mean only so-called 'occult' laws, such as polarity, or the law of correspondences (as above, so below). The term applies also to nature's generally more accepted workings, such as gravity, or electro-magnetism. Because we learn about these in school we should not consider such phenomena as any the less marvellous. The fact is, we all take the universe for granted simply because it works so well.
Even more than the other images, the old man evokes magic. He resembles the image, from every culture, of the god or angel who comes disguised as a beggar or traveller to visit some family, test their virtues of hospitality and generosity, and then leave them a magical gift. In the case of Abraham and Sarah the angels gave them a son, Isaac. In many such stories only the dogs recognize the visitor (just as in other tales the dogs alone run from the Devil when he comes in disguise). Because they have not buried their instincts in blasé human rationalism, the dogs can sense the wonderful when it comes to call.
Now, most of these tales emphasize the moral 'Be nice to everyone. You never know whom you might turn away'. But we can give the story a more subtle interpretation. By acting a certain way, people create in themselves the ability to recognize and receive the blessings in the world around them.
All these hidden signs and wonders point up the basic theme of Pentacles: the everyday world contains a magic greater than any of us can usually see. The magic is all around us, in nature, in the very fact that life exists and that this vast universe does not fly apart.
Inside the arch we see a bright ordinary day; outside darker tones prevail, even in the old man's coat of many colours, with its signs of astrology and ritual magic. The family stand under the arch posed as in a play. For all its firm reality, the everyday world, the comfortable lives we take for granted, and even the troubles and miseries that often occupy our minds, are only a play, in which we all follow the parts set out for us by our upbringing and by society (the recognition that we are a product of our conditioning is the first step to freeing ourselves from it).
The true reality remains ancient, dark, and mysterious. Though we look through the arch the perspective of the card places us outside it, with the mysterious visitor. By merging with this card we can find ourselves beyond the Gate, looking in at the little dramas of our own daily lives. By going further with it we can experience that wild vibrant universe existing in the very centre of the ordinary.
When the hero Odysseus arrived home from his wanderings in the wild, monster-ridden world outside civilized Greece, he came disguised as a beggar. Only his dog recognized him. Though he wore rags, they were glorious rags (much like the visitors patchwork coat) for the goddess Athena had given them to him. Odysseus returned to the domestic world from the wild; he destroyed the evil in his house and re-established the moral order. Yet first he had to experience what lay beyond. The Ten of Pentacles takes us there as well.","### REVERSED

If the sense of boredom with life increases it can lead to taking risks, especially financial or emotional ones. Sometimes, depending on the contexts or the projected results, the risks are justified; for instance, the Fool beside the Ten of Pentacles would urge the gamble. At other times the risks come less from need than from impatience with what we already have. This situation becomes more pointed when the Ten of Pentacles appears with the Ten of Cups.

The parallel with Odysseus stands out when the card becomes reversed. Most of that hero’s troubles arose because of a streak of recklessness that made him do wild things at just the wrong moment. The urge to gamble stood in opposition to his basic qualities of caution, skill, and foresight. And yet the wildness maintained the balance. Without it Odysseus would not have seen the world beyond the home and family to which he finally returned.",Ten of Pentacles,minor_arcana,both,card_meaning,796,4502
seventy_eight_degree_of_wisdom_tarot_chapter_10_nine_of_pentacles,seventy_eight_degree_of_wisdom_tarot,chapter_10,"## NINE OF PENTACLES
As material cards, Pentacles deal with success and what it means in a person's life. Unlike the figure in Ten, the woman here is sharply aware of the good things in her life. Her hand rests on the Pentacles, her thumb hooks on a grapevine. Awareness is one of the card's basic meanings, especially self-awareness and the ability to distinguish what matters in life, what goals truly demand our best efforts. The card signifies success-but not simply the material benefits; it means as well the sense of certainty that comes with knowing one has made the right choices and followed them with the necessary actions. The pentacles growing on the bushes symbolize a life that is productive and alive.
'Success' here means not so much worldly achievement as success in 'creating' ourselves out of the material given us by the circumstances and conditions of our life. And 'certainty', in its strongest sense, means more than looking back and seeing that we have done the right thing. It also means the ability to know where others can only guess. The Nine of Pentacles stands as the emblem of this quality, the true mark of the evolved person (for a further discussion see the end of the section on Readings); study and meditation with this card will therefore help achieve such certainty.
We have seen that the Nines show compromises and choices. This theme emerges in Pentacles as well. The woman stands alone in her garden. To achieve what she has, she has had to give up normal companionship. In readings, this symbolism does not mean that the card inevitably advises giving up a relationship; but it does call for self-reliance and a certain loneliness in pursuit of goals.
The image in Fig. 72(b), slightly different from the official Rider version (Fig. 72(a)), comes from an American edition of several years ago. In this Nine of Pentacles a shadow darkens the womans face, as well as the grapes on the cards right-hand side. Clearly she is turning away from the sun. The symbolism suggests a sacrifice. To make of her life what she wants she has had to give up not only companionship, but also such things as spontaneity, wandering, and recklessness. If the sacrifice seems too great, it perhaps means that we do not value enough the rewards of self-development.
The image of the bird carries these ideas further. A soaring hunter, the falcon symbolizes the intellect, the imagination, the spirit. The hood, however, subdues it to its mistress, that is, the conscious will. Therefore, while at first glance the card means success, a more intimate knowledge of it shifts the primary meaning to that of discipline. And an entry through the Gate of this card will help bring one to the joy of true discipline, which does not cripple, but soars.","### Reversed

The qualities of the card become denied or turned around: lack of discipline and the failure that comes from it; projects taken up and then abandoned; an inability to channel energy into useful purposes. It can mean not knowing what we want, or what really matters to us. The lack of self-awareness brings irresponsibility and faithlessness, to others as well as ourselves.",Nine of Pentacles,minor_arcana,both,card_meaning,475,2766
seventy_eight_degree_of_wisdom_tarot_chapter_10_eight_of_pentacles,seventy_eight_degree_of_wisdom_tarot,chapter_10,"## Eight OF PENTACLES
The way to Spirit for Pentacles lies not so much in success, or even awareness of value in ordinary things, as in the work that allows us to appreciate those things. The Nine shows discipline; the Eight shows the training that brings both discipline and skill.
Work, whether physical, artistic, or spiritual (the Sufi Idries Shah speaks of 'work' as the most basic of Sufi doctrines), cannot succeed if the person thinks only of the end result. Many artists and writers have testified to this fact, warning hopefuls that if they just want to become famous or rich they will never succeed. We have to care about the work itself.
Therefore we see the apprentice lost in his task. And yet work also needs to be related to the outside world. However much we follow our standards and instincts or seek our own development the work we do lacks meaning if it does not serve the community. Therefore, behind his shop-though far away-stands a city, with a yellow road (yellow for mental action) leading to and from the workshop.","### REVERSED

When reversed the card suggests primarily impatience and the situations resulting from it: frustration, unfulfilled ambition, envy or jealousy. These things may result from the attitude of looking only to success, and not to the work that brings it. They may also arise from unsatisfying work, that is, a job or career which calls for no skill, no personal involvement, no pride.",Eight of Pentacles,minor_arcana,both,card_meaning,183,1041
seventy_eight_degree_of_wisdom_tarot_chapter_10_seven_of_pentacles,seventy_eight_degree_of_wisdom_tarot,chapter_10,"## SEVEN OF PENTACLES
From the image of work we move to its reward. Like the Nine the Seven shows the pentacles as a living development from the persons labour. Meaningful work gives more than material benefit; the person too grows. The Seven shows that moment of being able to look back with satisfaction on something accomplished. The something may be as broad as a career or as simple as an immediate project. The card implies that whatever has been built up (including relationships between people) has reached a point where it can grow by itself, and the person can step back from it without it collapsing.","### Reversed

For many people, meaningful work is simply not available. In general, the Seven reversed shows the pervasive dissatisfaction, the trapped feeling, that comes from unsatisfying jobs or commitments. Again, the Seven reversed can mean any specific dissatisfaction or anxiety, in particular one arising from some project that is not going well.",Seven of Pentacles,minor_arcana,both,card_meaning,107,611
seventy_eight_degree_of_wisdom_tarot_chapter_10_six_of_pentacles,seventy_eight_degree_of_wisdom_tarot,chapter_10,"## Six OF PENTACLES
The next two cards, related by their symbolism, stand among the most complex cards of the Minor Arcana, indeed of the whole deck. At the same time they demonstrate the difference between layers of interpretation and that extra dimension I call the Gate; for while the Five allows quite a few meanings the Six shows us the Gate mechanism itself.
On the surface the Six of Pentacles illustrates the idea of sharing, generosity, charity. Notice, however, that the people form a hierarchy, one above two others. The card therefore signifies a relationship in which one person dominates others. He or she gives, but always from a basis of superiority. The scales are balanced; such relationships are often very stable, precisely because the people are well matched. Just as one wishes to dominate, the other(s) wishes to be dominated. The lower position does not really imply weakness; the dominated person often instigates the relationship, and in fact will subtly insist on maintaining it when the one who plays the dominant role might wish to change.
Sometimes the hierarchy does not indicate a person but rather a situation - emotional, economic, or other - which dominates a person or a group of people. It may give them very little, but just enough to keep them from looking for something else. This can happen in a job which gives material benefit but little satisfaction or chance for improvement; or a relationship in which the people are unhappy but comfortable; or a political situation where people recognize they are oppressed, but do not wish to endanger what little security they have.
The card bears a (distorted) relationship to all those Major cards (the Hierophant, the Lovers, the Devil, and others) in which some force holds together or reconciles the opposites of life. Here nothing becomes truly reconciled, but the situation maintains the balance and keeps it going.
So far the meanings emphasize the two beggars. But what of the giver? He shows generosity, yet the balanced scales indicate he does not give spontaneously, but rather measures out what he thinks he can afford. In other words he gives what he will not miss. Emotionally this symbolizes a person who relates really easily to others yet always holds back his or her deepest feelings.
As we said above, the relationship comes from both sides. Many people will only accept limited gifts from others. A display of strong emotions, for instance, may embarrass or scare them. The same may hold true for people who resent charity and put any offer of help in that category. Therefore the Six of Pentacles may indicate *giving people what they are able to receive*.
I have emphasized these words because they imply something beyond their literal meaning. Most people will unconsciously measure out their giving according to what other people expect from them; they avoid making themselves or other people uncomfortable. On the other hand, in order *consciously* to give people what they need and can use (rather than what they may think they want) one must have achieved a great degree of self-knowledge as well as awareness of human psychology in general. Few people really reach this level of giving; many people who think they perceive what someone else needs are actually projecting their own requirements and fears onto that person. As a more objective source of information, the Tarot can help us understand our own or someone elses needs. Because of these meanings, the Six of Pentacles relates to the Nine in the context of that card as an emblem of certitude.
The idea of giving what people are able to receive carries a religious meaning as well. Mystics and esotericists often say that the truth hidden within a specific religion may run almost opposite to what that religion appears to say on the surface. For instance, while doctrine may teach us to control our desires through pious thoughts, the occultist may attempt to bring forth and work with her or his most hidden urges. This split exists because most people are not only incapable of but even unwilling to deal with religious/psychological teachings in their undisguised form. Even many who try may find the truth impossible to assimilate. Consider Rabbi Ben Abuysh, who lost his faith when he thought he saw two Gods.
Idries Shah tells the fable of two men who come upon a tribe which harbours a great fear of water-melons, believing them to be demons. The first traveller tries to tell them the truth and is stoned as a heretic. The second accepts their orthodoxy, gains their confidence, and slowly works to educate them. Like this tale, the Six of Pentacles indicates the manner in which religion, and also esoteric teachings, give what we are capable of receiving. Waite, in describing this card, says a person in the guise of a merchant-not a merchant, but a person in the guise of one. And Nietzsche, in *Thus Spake Zarathustra*, has a hermit tell Zarathustra, If you want to go to them, give no more than an alm, and let them beg for that. Give more and no one will listen.
Yet who is this person in his merchant guise? Is he simply a teacher, or a religious or psychological doctrine? The scales suggest something more-Justice, which stands for truth, not just as correct information but as a living force holding together and balancing the universe. In the Ten of Pentacles we saw this force as the old man at the gate; here we see it as the merchant. *Life* gives us what we need, what we can use. Especially when we put ourselves in a position to receive.
People who work with meditation or the Tarot or similar disciplines (as well as people doing artistic work) often notice a curious phenomenon. Life appears to conspire to give them what they need to help them on their way. Not a great burst, but just enough to give them a little push when they can most use it. Here is an example. At the time when I was working with these meanings for the Six of Pentacles I did a Tarot reading for myself in which the Six came up crossing the Knight of Cups. I took this to mean that by keeping a meditative frame of mind I would receive benefit. Now, this occurred some months after my mothers death, and while visiting my father I found and began to wear a mezuzah (a kind of Jewish amulet) of my mothers. The mezuzah was inscribed with the name Shaddai. I recognized this word as a name of God, but did not know what it meant. Two or three days after the reading I went with my father to a synagogue for the Saturday prayers (something I would not have done on my own). On the way in I saw the name Shaddai on some jewellery on display, and mentioned my curiosity about its meaning.
When I looked at the Bible reading for that day I discovered a note explaining the meaning of Shaddai. Translated as Almighty it comes from a Hebrew root meaning to overpower. But it relates also to an Arabic word meaning benevolence, giving of gifts. Not only did the book answer my immediate question, but it gave me a greater understanding of the Six of Pentacles. The merchant symbolizes the force of life, which not only gives us what we need and can receive, but can also overpower us (yet ordinarily does not if we do not wish it) with spiritual wonder. And I had gained these insights (which, because I experienced them, meant more to me than they would have as intellectual ideas) by literally putting myself in a position to receive, that is, by going with my father to the synagogue.
From the Six of Pentacles we learn that the value of studying the Tarot or other disciplines lies not simply in the specific knowledge gained but also in the frame of mind created by the act of doing it. The work itself changes us. We can develop these changes consciously and deliberately through the mechanism of the Gate cards. By contemplating and joining their pictures we allow ourselves to receive their gifts.","### Reversed

The possible meanings relate to the meanings right side up. A lack of generosity, selfishness when sharing is expected. Sometimes this refers to a situation where the person is in a superior position. Then the giver is challenged to give more freely, not to measure out what he or she can afford, but really to share. At other times the card will point up the resentment of those people receiving charity, or its emotional counterpart, pity.

Often the Six reversed indicates that some stable, but basically unequal or unsatisfying, situation has been disrupted. Whether or not this disruption results in a freer or more equal situation will depend on various factors, not least of which is the desire and courage of the people involved to continue a process which they, or some outside agency, have started.

Finally, of course, it means not putting ourselves in a position to receive; either cutting ourselves off spiritually, or missing some practical opportunity, perhaps through arrogance or suspicion of other people's motives.",Six of Pentacles,minor_arcana,both,card_meaning,1376,7870
seventy_eight_degree_of_wisdom_tarot_chapter_10_five_of_pentacles,seventy_eight_degree_of_wisdom_tarot,chapter_10,"## Five OF PENTACLES
The various meanings for this card illustrate again that problem of certitude discussed in the section on Readings. How can we know for sure which meaning will apply in a real situation? At the same time the meanings show the way in which a situation can turn in very different directions.
The Fives illustrate conflict and loss of some kind; in terms of Pentacles this means first of all material troubles, such as poverty or illness. Sometimes it implies a longstanding hardship. Observe that the people, though bent and crippled, are surviving. This card may indicate love, especially that of two people holding together in a bad situation. It may turn out that hardship has become one of the major factors keeping them together, so that relief from their material troubles may strain their unity - or they may think this will happen and therefore fear change.
Notice that they are passing a church. Now, as a place of sanctuary, the church represents rest and relief from the storm. The people, however, do not see it. Human beings can get used to anything, and when they do they will often not see opportunities for change; they will even resist an end to their problems. If we compare these people with the kneeling beggars of Six we see that Five represents pride and independence, sometimes to a foolish degree when help is genuinely offered.
As we examine the card more closely we can discover alternative, even opposed, meanings. The card shows no door to the church. As with many real churches today, which lock their doors like businesses at 5 pm, this church has perhaps shut the people out. The sanctuary has failed. We see first of all a comment on modern religion, which many feel has failed in the task of giving comfort and healing to peoples troubled souls. On a simpler level, in many countries the churches have grown rich at the peoples expense. Again, compare the Five with the Six. The merchant there may symbolize the modern secular church, giving what material assistance it can (or will), while the peoples spiritual needs go unattended.
We can call the previous paragraph the sociological interpretation of the doorless church. If we shift the emphasis to the people we can see a psychological view. Sometimes we may find ourselves in a situation where outside forces - social institutions, family, friends, etc. - cannot help us and we must struggle against the problems on our own.
We can extend this idea of a magic or occult interpretation. In Part One of this book I discussed how the magician, by setting out on a course of personal development, pits him or herself against the established Church, which traditionally acts as an intermediary between human beings and God. The choice may bring practical as well as political consequences. If the magician encounters dangerous psychic forces, then traditional religion cannot (let alone will not) help him or her overcome them. Compare the Five of Pentacles with the Hierophant, number 5 in the Major Arcana. There two supplicants submit to a doctrine that guides them in all situations. Here the people have rejected such doctrines, or have simply found them irrelevant.","### Reversed

Waite gives the meaning ‘chaos, disorder, ruin, confusion’. This suggests that the situation right side up has collapsed. The people are no longer surviving. While the immediate situation may seem much worse it can sometimes lead to improvement. When people accustom themselves to suffering, a collapse may release them. Whether they now can build something more positive depends partly on themselves and partly on the influence and opportunities around them.",Five of Pentacles,minor_arcana,both,card_meaning,539,3174
